id,animeId,score,body,summary
1,115,92,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo
2,107,50,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus
3,105,78,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede
4,41,88,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
5,46,55,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean
6,45,97,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in
7,92,73,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut
8,3,76,In congue. Etiam justo. Etiam pretium iaculis justo.,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam
9,25,80,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent
10,1,17,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt
11,62,99,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero
12,83,29,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede
13,143,55,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",mauris morbi non lectus aliquam sit amet diam in magna bibendum
14,130,26,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede
15,3,38,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",justo eu massa donec dapibus duis at velit eu est congue elementum
16,130,9,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius
17,18,2,Sed ante. Vivamus tortor. Duis mattis egestas metus.,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros
18,64,46,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit
19,114,26,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo
20,150,13,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at
21,68,87,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",felis donec semper sapien a libero nam dui proin leo
22,71,42,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue
23,110,34,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at
24,105,30,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet
25,7,65,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit
26,145,4,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra
